arriver	/a.ʁi.ve/	to arrive	[sound:vac-06.mp3]		https://quizlet.com/542914599/french-ab-initio-les-vacances-flash-cards/	french::holiday french::pos::verb
atterrir	/a.tɛ.ʁiʁ/	to land	[sound:vac-35.mp3]	<img src="pvac-35.jpeg" style="width: 400px;">	https://quizlet.com/542914599/french-ab-initio-les-vacances-flash-cards/	french::holiday french::pos::verb
au bord de la mer	/o bɔʁ də la mɛʁ/	by the seaside	[sound:vac-54.mp3]		https://quizlet.com/542914599/french-ab-initio-les-vacances-flash-cards/	french::holiday french::pos::noun french::pos::prep
claire	/klɛʁ/	bright	[sound:vac-65.mp3]		https://quizlet.com/542914599/french-ab-initio-les-vacances-flash-cards/	french::holiday french::pos::adjective
décoller	/de.kɔ.le/	to take off (like a ‘plane or unstick)	[sound:vac-34.mp3]	<img src="pvac-34.jpg" style="width: 400px;">	https://quizlet.com/542914599/french-ab-initio-les-vacances-flash-cards/	french::holiday french::pos::verb
dépenser	/de.pɑ̃.se/	to spend	[sound:vac-09.mp3]	<img src="pvac-09.jpeg" style="width: 400px;">	https://quizlet.com/542914599/french-ab-initio-les-vacances-flash-cards/	french::holiday french::pos::verb
escalader	/ɛs.ka.la.de/	to climb	[sound:vac-02.mp3]		https://quizlet.com/542914599/french-ab-initio-les-vacances-flash-cards/	french::holiday french::pos::verb
être en avance	/ɛtʁ ɑ̃.n‿a.vɑ̃s/	to be early	[sound:vac-62.mp3]		https://quizlet.com/542914599/french-ab-initio-les-vacances-flash-cards/	french::holiday french::pos::verb french::time
être en retard	/ɛtʁ ɑ̃ ʁ(ə).taʁ/	to be late	[sound:vac-61.mp3]		https://quizlet.com/542914599/french-ab-initio-les-vacances-flash-cards/	french::holiday french::pos::verb french::time
jouer	/ʒwe/	to play	[sound:vac-01.mp3]		https://quizlet.com/542914599/french-ab-initio-les-vacances-flash-cards/	french::holiday french::pos::verb
l'alpinisme	/l‿al.pi.nizm/	the mountain climbing	[sound:vac-56.mp3]		https://quizlet.com/542914599/french-ab-initio-les-vacances-flash-cards/	french::holiday french::pos::noun
